"MASTER","ENTIDAD","PRECIO","TIPOLOGIA","METODOLOGIA","DURACION","BOLSAEMP","TELEFONO","X4","X6","URLIMAGEN","NOMBREIMAGEN","WEB",
"MÁSTER EN MECANIZADO POR CORTE Y CONFORMADO","SELECT BUSINESS SCHOOL","1940.0","Master","Online","1500h","Sí",916358357,"Documentos","['MÓDULO 1. PROCEDIMIENTOS DE MECANIZADO POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 1. ESPECIFICACIONES TÉCNICAS EN PROCESOS DE MECANIZADO POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 2. CÁLCULO DE COSTES EN PROCESOS DE MECANIZADO POR CORTE Y CONFORMADO', 'MÓDULO 2. PREPARACIÓN Y PROGRAMACIÓN DE MÁQUINAS Y SISTEMAS DE CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 1. PREPARACIÓN DE MÁQUINAS, EQUIPOS Y HERRAMIENTAS EN OPERACIONES DE MECANIZADO POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 2. ELABORACIÓN DE PROGRAMAS DE CNC PARA LA', 'FABRICACIÓN DE PIEZAS POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 3. PROCESOS AUXILIARES DE FABRICACIÓN EN EL', 'MECANIZADO POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 4. PREVENCIÓN DE RIESGOS LABORALES Y', 'MEDIOAMBIENTALES PARA EL MECANIZADO POR CORTE Y CONFORMADO', 'MÓDULO 3. MECANIZADO POR CORTE, CONFORMADO Y PROCEDIMIENTOS ESPECIALES', 'UNIDAD FORMATIVA 1. PREVENCIÓN DE RIESGOS LABORALES Y', 'MEDIOAMBIENTALES PARA EL MECANIZADO POR CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 2. PREPARACIÓN DE ÚTILES PARA EL MECANIZADO POR ', 'CORTE Y CONFORMADO', 'UNIDAD FORMATIVA 3. OPERACIONES DE MÁQUINAS-HERRAMIENTAS PARA PUNZONADO Y PLEGADO', 'UNIDAD FORMATIVA 4. CORTE POR PLASMA Y OXICORTE']","https://www.emagister.com/assets/es/logos/centro/id/192308/size/l.png","['l.png']","https://www.emagister.com/master-mecanizado-corte-conformado-cursos-3546893.htm",
"Master en Ingeniería Civil en Proyectos de Estructuras Metálicas","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","600h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. PLANIFICACIÓN DE PROYECTOS Y OBRAS EN LAS FASES DE DISEÑO Y CONTRATACIÓN', 'MÓDULO 2. CARACTERIZACIÓN DE PRODUCTOS DE ESTRUCTURA METÁLICA', 'MÓDULO 3. MATERIALES PARA LA FABRICACIÓN Y MONTAJE DE PRODUCTOS DE ESTRUCTURAS METÁLICAS', 'MÓDULO 4. DOCUMENTACIÓN PARA LA FABRICACIÓN Y MONTAJE DE PRODUCTOS DE ESTRUCTURAS METÁLICAS', 'MÓDULO 5. ESPECIALISTA EN CYPE 3D. DISEÑO Y CÁLCULO DE ESTRUCTURAS METÁLICAS']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-ingenieria-civil-proyectos-estructuras-metalicas-cursos-3697018.htm",
"Master en Bullying: Prevención e Intervención en Casos de Acoso y Ciberacoso Escolar + Titulación Universitaria","Euroinnova Business School","1299.0","Master","Online","725h","Sin Datos",958912561,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/56241/size/l.jpg","['l.jpg']","https://www.emagister.com/master-bullying-prevencion-e-intervencion-casos-acoso-ciberacoso-escolar-titulacion-universitaria-cursos-3335244.htm",
"MÁSTER EN TIPOGRAFÍA Y MAQUETACIÓN","ESCUELA EUROPEA DE ARTE, ARTESANÍA Y OFICIOS","395.0","Master","Online","300h","Sin Datos",977973104,"Plantea tus dudas y otros usuarios podran responderte","['UNIDAD FORMATIVA 1. COMPOSICION DE TEXTOS EN PRODUCTOS GRÁFICOS', 'UNIDAD DIDÁCTICA 1. ARQUITECTURA TIPOGRÁFICA', 'UNIDAD DIDÁCTICA 2. EL FORMATO DEL PRODUCTO GRÁFICO', 'UNIDAD DIDÁCTICA 3. ELABORACIÓN DE MAQUETAS DE PRODUCTOS', 'GRÁFICOS', 'UNIDAD FORMATIVA 2. MAQUETACIÓN DE PRODUCTOS EDITORIALES', 'UNIDAD DIDÁCTICA 1. MAQUETACIÓN DE UN PRODUCTO EDITORIAL', 'UNIDAD DIDÁCTICA 2. ELABORACIÓN DE MAQUETAS DE PRODUCTOS', 'EDITORIALES']","https://www.emagister.com/assets/es/logos/centro/id/1156917/size/l.jpg","['l.jpg']","https://www.emagister.com/master-tipografia-maquetacion-cursos-3677212.htm",
"POSTGRADO EN CÁLCULOS DE CALDERERÍA Y ESTRUCTURAS METÁLICAS","ESCUELA DE POSTGRADO DE INGENIERIA Y ARQUITECTURA","420.0","Postgrado","Online","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. CÁLCULOS DE CALDERERÍA Y ESTRUCTURAS METÁLICAS', 'UNIDAD FORMATIVA 1. SOLUCIONES CONSTRUCTIVAS EN CONSTRUCCIONES METÁLICAS', 'UNIDAD DIDÁCTICA 1. ELEMENTOS QUE INTERVIENEN EN EL CÁLCULO DE CALDERERÍA Y ESTRUCTURAS METÁLICAS', 'UNIDAD DIDÁCTICA 2. ESFUERZOS QUE SOPORTAN LAS ESTRUCTURAS METÁLICAS.', 'UNIDAD DIDÁCTICA 3. ELEMENTOS ESTRUCTURALES DE CALDERERÍA Y CONSTRUCCIONES METÁLICAS.', 'UNIDAD DIDÁCTICA 4. MANIOBRAS DE TRASLADO DE GRANDES ESTRUCTURAS', 'UNIDAD DIDÁCTICA 5. PROGRAMAS DE DISEÑO Y CÁLCULO DE ESTRUCTURAS', 'UNIDAD FORMATIVA 2. CÁLCULO DE ELEMENTOS DE UNIÓN', 'UNIDAD DIDÁCTICA 1. UNIONES SOLDADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS', 'UNIDAD DIDÁCTICA 2. UNIONES REMACHADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS', 'UNIDAD DIDÁCTICA 3. UNIONES PEGADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS.', 'UNIDAD DIDÁCTICA 4. UNIONES DESMONTABLES PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS.', 'UNIDAD DIDÁCTICA 5. PROGRAMAS DE DISEÑO Y CÁLCULO DE UNIONES PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS.', 'UNIDAD FORMATIVA 3. PRUEBAS Y ENSAYOS EN CONSTRUCCIONES METÁLICAS', 'UNIDAD DIDÁCTICA 1. ENSAYOS DESTRUCTIVOS EN CONSTRUCCIONES METÁLICAS.', 'UNIDAD DIDÁCTICA 2. ENSAYOS NO DESTRUCTIVOS EN CONSTRUCCIONES METÁLICAS.', 'UNIDAD DIDÁCTICA 3. NORMATIVA SOBRE PRUEBAS EN CONSTRUCCIONES METÁLICAS.']","https://www.emagister.com/assets/es/logos/centro/id/1155659/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-calculos-caldereria-estructuras-metalicas-cursos-3627055.htm",
"MÁSTER EN DISEÑO DE CALDERERÍA","SAN ANASTASIO INTERNATIONAL SCHOOL","620.0","Master","A distancia","600h","Sin Datos",973975855,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1152478/size/l.jpg","['l.jpg']","https://www.emagister.com/master-diseno-caldereria-cursos-3559685.htm",
"Master en Instalación, Mantenimiento y Reparación de Ascensores y Montacargas + Titulación Universitaria","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","725h","Sin Datos",911227348,"Documentos","['PARTE 1. INSTALACIÓN, MANTENIMIENTO Y REPARACIÓN DE ASCENSORES Y MONTACARGAS', 'PARTE 2. PRUEBAS DE FUNCIONAMIENTO Y PUESTA EN MARCHA DE ASCENSORES Y OTROS EQUIPOS FIJOS DE ELEVACIÓN Y TRANSPORTE', 'PARTE 3. SEGURIDAD EN EL TRABAJO', 'MÓDULO 1. SEGURIDAD Y SALUD LABORAL (I)', 'MÓDULO 2. SEGURIDAD Y SALUD LABORAL (II)']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-instalacion-mantenimiento-reparacion-ascensores-montacargas-titulacion-universitaria-cursos-3547573.htm",
"POSTGRADO EN CÁLCULOS DE CALDERERÍA Y ESTRUCTURAS METÁLICAS","ESCUELA DE POSTGRADO DE INGENIERIA Y ARQUITECTURA","420.0","Postgrado","A distancia","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. CÁLCULOS DE CALDERERÍA Y ESTRUCTURAS METÁLICAS ', 'UNIDAD FORMATIVA 1. SOLUCIONES CONSTRUCTIVAS EN CONSTRUCCIONES METÁLICAS ', 'UNIDAD DIDÁCTICA 1. ELEMENTOS QUE INTERVIENEN EN EL CÁLCULO DE CALDERERÍA Y ESTRUCTURAS METÁLICAS ', 'UNIDAD DIDÁCTICA 2. ESFUERZOS QUE SOPORTAN LAS ESTRUCTURAS METÁLICAS. ', 'UNIDAD DIDÁCTICA 3. ELEMENTOS ESTRUCTURALES DE CALDERERÍA Y CONSTRUCCIONES METÁLICAS. ', 'UNIDAD DIDÁCTICA 4. MANIOBRAS DE TRASLADO DE GRANDES ESTRUCTURAS ', 'UNIDAD DIDÁCTICA 5. PROGRAMAS DE DISEÑO Y CÁLCULO DE ESTRUCTURAS ', 'UNIDAD FORMATIVA 2. CÁLCULO DE ELEMENTOS DE UNIÓN ', 'UNIDAD DIDÁCTICA 1. UNIONES SOLDADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS ', 'UNIDAD DIDÁCTICA 2. UNIONES REMACHADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS ', 'UNIDAD DIDÁCTICA 3. UNIONES PEGADAS PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS. ', 'UNIDAD DIDÁCTICA 4. UNIONES DESMONTABLES PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS. ', 'UNIDAD DIDÁCTICA 5. PROGRAMAS DE DISEÑO Y CÁLCULO DE UNIONES PARA CALDERERÍA Y ESTRUCTURAS METÁLICAS.  ', 'UNIDAD FORMATIVA 3. PRUEBAS Y ENSAYOS EN CONSTRUCCIONES METÁLICAS', 'UNIDAD DIDÁCTICA 1. ENSAYOS DESTRUCTIVOS EN CONSTRUCCIONES METÁLICAS. ', 'UNIDAD DIDÁCTICA 2. ENSAYOS NO DESTRUCTIVOS EN CONSTRUCCIONES METÁLICAS. ', 'UNIDAD DIDÁCTICA 3. NORMATIVA SOBRE PRUEBAS EN CONSTRUCCIONES METÁLICAS. ']","https://www.emagister.com/assets/es/logos/centro/id/1155659/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-calculos-caldereria-estructuras-metalicas-cursos-3631891.htm",
"Máster Universitario en Ingeniería Avanzada de Fabricación","UNED","40015000.0","Master","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/123144/size/l.jpg","['l.jpg']","https://www.emagister.com/master-universitario-ingenieria-avanzada-fabricacion-cursos-3629675.htm",
"Máster en Recepción de Talleres Mecánicos","Escuela Europea del Automovil","890.0","Master","A distancia","300h","Sin Datos",916358315,"Plantea tus dudas y otros usuarios podran responderte","['UNIDAD DIDÁCTICA 1. NORMATIVA SOBRE LA ACTIVIDAD INDUSTRIAL Y LA PRESTACIÓN DE SERVICIOS EN LOS TALLERES', 'UNIDAD DIDÁCTICA 2. LOS TALLERES Y LA LEGISLACIÓN APLICABLE A LAS REFORMAS', 'UNIDAD DIDÁCTICA 3. ATENCIÓN AL CLIENTE Y ORGANIZACIÓN DEL TALLER MECÁNICO', 'UNIDAD DIDÁCTICA 4. LA ACTUACIÓN PERSONAL Y PROFESIONAL EN LAS ACTIVIDADES ADMINISTRATIVAS', 'UNIDAD DIDÁCTICA 5. LA COMUNICACIÓN EN LA EMPRESA', 'UNIDAD DIDÁCTICA 6. LA COMUNICACIÓN ORAL I', 'UNIDAD DIDÁCTICA 7. LA COMUNICACIÓN TELEFÓNICA', 'UNIDAD DIDÁCTICA 8. COMUNICACIÓN ESCRITA', 'UNIDAD DIDÁCTICA 9. CALIDAD EN EL SERVICIO DE ATENCIÓN AL CLIENTE', 'UNIDAD DIDÁCTICA 10. PREVENCIÓN DE RIESGOS LABORALES EN OFICINAS Y SECTOR DE LA ADMINISTRACIÓN']","https://www.emagister.com/assets/es/logos/centro/id/190327/size/l.jpg","['l.jpg']","https://www.emagister.com/master-recepcion-talleres-mecanicos-cursos-3333044.htm",
"Master En Diseño Aeronáutico CATIA V5","Centrumtec","1147.0","Master","Online","750h","Sí",900494940,"Plantea tus dudas y otros usuarios podran responderte","['En cada Modulo:']","https://www.emagister.com/assets/es/logos/centro/id/1156495/size/l.png","['l.png']","https://www.emagister.com/master-diseno-aeronautico-catia-v5-cursos-3726792.htm",
"MÁSTER EN DISEÑO NAVAL","SAN ANASTASIO INTERNATIONAL SCHOOL","890.0","Master","A distancia","600h","Sin Datos",973975855,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1152478/size/l.jpg","['l.jpg']","https://www.emagister.com/master-diseno-naval-cursos-3559676.htm",
"Postgrado en diagnosis y reparación de vehículos eléctricos e híbridos","MONLAU CORPORATE","585.0","Postgrado","Online","Sin Datos","Sin Datos",932933037,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/134374/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-diagnosis-reparacion-vehiculos-electricos-e-hibridos-cursos-3707275.htm",
"Master en Jefe de Taller de Carrocería","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","600h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. INTRODUCCIÓN AL TRABAJO EN EL TALLER DE CARROCERÍA DE VEHÍCULOS', 'MÓDULO 2. EXPERTO EN VERIFICACIÓN DE ESTRUCTURAS DE VEHÍCULOS DEFORMADOS', 'MÓDULO 3. EXPERTO EN POSICIONADO Y CONTROL DEL ESTADO DEL VEHÍCULO, BASTIDOR O CABINA EN TODO TIPO DE BANCADAS', 'MÓDULO 4. EXPERTO EN REPARACIÓN DE TODO TIPO DE DEFORMACIONES DE LA CARROCERÍA EN BANCADA', 'MÓDULO 5. LEGISLACIÓN REGULADORA DE LOS TALLERES DE VEHÍCULOS Y SU RELACIÓN EN LAS INSPECCIONES TÉCNICAS DE VEHÍCULOS', 'MÓDULO 6. OBLIGACIONES DE LOS TALLERES EN MATERIA MEDIOAMBIENTAL, DE SEGURIDAD, METEOROLÓGICA, RIESGOS LABORALES Y CONSUMO']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-jefe-taller-carroceria-cursos-3697017.htm",
"Máster en Mecánica. Experto en Dirección, Suspensión y Frenos ABS","Escuela Europea del Automovil","890.0","Master","A distancia","300h","Sin Datos",916358315,"Documentos","['TEMA 1. SISTEMAS DE DIRECCIÓN', 'TEMA 2. SISTEMAS DE SUSPENSIÓN', 'TEMA 3. SISTEMAS DE FRENADO', 'TEMA 4. PREVENCIÓN DE RIESGOS LABORALES EN ACTIVIDADES DE MECÁNICA DEL AUTOMÓVIL']","https://www.emagister.com/assets/es/logos/centro/id/190327/size/l.jpg","['l.jpg']","https://www.emagister.com/master-mecanica-experto-direccion-suspension-frenos-abs-cursos-3333008.htm",
"Máster en Jefe de Taller de Carrocería ONLINE","Edil formación","500.0","Master","Online","600h","Sí",912669065,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/1123086/size/l.jpg","['l.jpg']","https://www.emagister.com/master-jefe-taller-carroceria-online-cursos-3467344.htm",
"MÁSTER EN DISEÑO NAVAL","SAN ANASTASIO INTERNATIONAL SCHOOL","890.0","Master","Online","600h","Sin Datos",973975855,"Documentos","[]","https://www.emagister.com/assets/es/logos/centro/id/1152478/size/l.jpg","['l.jpg']","https://www.emagister.com/master-diseno-naval-cursos-3605346.htm",
"POSTGRADO EN ELECTRICIDAD Y MECÁNICA DEL AUTOMÓVIL.","Escuela Europea del Automovil","1550.0","Master","Online","600h","Sin Datos",916358315,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. SISTEMAS DE CARGA Y ARRANQUE DE VEHÍCULOS Y CIRCUITOS ELECTROTÉCNICOS BÁSICOS', 'UNIDAD FORMATIVA 1. PREVENCIÓN DE RIESGOS LABORALES Y MEDIOAMBIENTALES EN MANTENIMIENTO DE VEHÍCULOS', 'UNIDAD DIDÁCTICA 1. CONCEPTOS BÁSICOS SOBRE SEGURIDAD Y SALUD EN EL TRABAJO. ', 'UNIDAD DIDÁCTICA 2. ACTUACIÓN EN EMERGENCIAS Y EVACUACIÓN.', 'UNIDAD DIDÁCTICA 3. RIESGOS MEDIOAMBIENTALES Y MANIPULACIÓN DE RESIDUOS.', 'UNIDAD FORMATIVA 2. ELECTRICIDAD, ELECTROMAGNETISMO Y ELECTRÓNICA APLICADOS AL AUTOMÓVIL', 'UNIDAD DIDÁCTICA 1. ELECTRICIDAD APLICADA A SISTEMAS DE CARGA Y ARRANQUE DE VEHÍCULOS.', 'UNIDAD DIDÁCTICA 2. RESOLUCIÓN Y MEDICIÓN DE CIRCUITOS BÁSICOS DE CORRIENTE CONTINUA.', 'UNIDAD DIDÁCTICA 3. APARATOS DE MEDIDA DE ELECTRICIDAD Y ELECTRÓNICA.', 'UNIDAD DIDÁCTICA 4. ELECTROMAGNETISMO APLICADO A SISTEMAS DE CARGA Y ARRANQUE DE VEHÍCULOS.', 'UNIDAD DIDÁCTICA 5. TECNOLOGÍA DE LOS COMPONENTES ELÉCTRICOS Y ELECTRÓNICOS.', 'UNIDAD DIDÁCTICA 6. DISPOSICIÓN DE LA INSTALACIÓN ELÉCTRICA.', 'CABLEADOS. ', 'UNIDAD FORMATIVA 3. MANTENIMIENTO DEL SISTEMA DE ARRANQUE DEL MOTOR DEL VEHÍCULO ', 'UNIDAD DIDÁCTICA 1. MOTOR DE ARRANQUE. ', 'UNIDAD DIDÁCTICA 2. CIRCUITO DE ARRANQUE. ', 'UNIDAD DIDÁCTICA 3. VERIFICACIÓN Y CONTROL DEL SISTEMA DE ARRANQUE. ', 'UNIDAD DIDÁCTICA 4. MANTENIMIENTO DE SISTEMAS DE ARRANQUE. ', 'UNIDAD FORMATIVA 4. MANTENIMIENTO DEL SISTEMA DE CARGA CON ALTERNADOR ', 'UNIDAD DIDÁCTICA 1. ACUMULADORES PARA AUTOMÓVILES. ', 'UNIDAD DIDÁCTICA 2. CARGA Y VERIFICACIÓN DE ACUMULADORES. ', 'UNIDAD DIDÁCTICA 3. CIRCUITO DE CARGA CON ALTERNADOR. ', 'UNIDAD DIDÁCTICA 4. REGULADORES DE CARGA. ', 'UNIDAD DIDÁCTICA 5. VERIFICACIÓN Y CONTROL DEL SISTEMA DE CARGA. ']","https://www.emagister.com/assets/es/logos/centro/id/190327/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-electricidad-mecanica-del-automovil-cursos-3466803.htm",
"Postgrado en diagnosis y reparación de vehículos eléctricos e híbridos - modalidad presencial","MONLAU CORPORATE","980.0","Postgrado","Barcelona","Sin Datos","Sin Datos",932933037,"Plantea tus dudas y otros usuarios podran responderte","[]","https://www.emagister.com/assets/es/logos/centro/id/134374/size/l.jpg","['l.jpg']","https://www.emagister.com/postgrado-diagnosis-reparacion-vehiculos-electricos-e-hibridos-modalidad-presencial-cursos-3707242.htm",
"MEDMA | Máster en Diseño Mecánico Aeronáutico","EDDM Engineering Education","Precio a consultar","Master","Madrid","650h","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['TEMARIO RESUMIDO. (ver temario detallado adjunto)  CATIA Profesional. Metodología Aeronáutica', 'Configuracion de producto', 'Diseño Mecánico', 'Tecnologías de fabricación, unión y otros procesos', 'Introducción a disciplinas de diseño']","https://www.emagister.com/assets/es/logos/centro/id/121753/size/l.jpg","['l.jpg']","https://www.emagister.com/medma-master-diseno-mecanico-aeronautico-cursos-2909717.htm",
"Master en Mantenimiento y Reforma de Carrocerías en Vehículos + Titulación Universitaria","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","725h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. VERIFICACIÓN DE ESTRUCTURAS DEFORMADAS', 'PARTE 2. POSICIONADO Y CONTROL DE LA ESTRUCTURA EN BANCADA', 'PARTE 3. REPARACIÓN EN BANCADA', 'PARTE 4. PREVENCIÓN DE RIESGOS Y GESTIÓN MEDIOAMBIENTAL EN EL MANTENIMIENTO DE VEHÍCULOS', 'PARTE 5. SEGURIDAD EN EL TRABAJO', 'MÓDULO 1. SEGURIDAD Y SALUD LABORAL (I)', 'MÓDULO 2. SEGURIDAD Y SALUD LABORAL (II)']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-mantenimiento-reforma-carrocerias-vehiculos-titulacion-universitaria-cursos-3656802.htm",
"Programa de doctorado interuniversitario en mecánica de fluidos","UNED","10012000.0","Doctorado","Online","Sin Datos","Sin Datos",912669065,"Plantea tus dudas y otros usuarios podran responderte","['Línea de investigación:', 'COMPETENCIAS BÁSICAS ', 'CAPACIDADES Y DESTREZAS PERSONALES ']","https://www.emagister.com/assets/es/logos/centro/id/123144/size/l.jpg","['l.jpg']","https://www.emagister.com/programa-doctorado-interuniversitario-mecanica-fluidos-cursos-3629682.htm",
"Diplomado en ingeniería eléctrica","CLAUSTRO GÓMEZ INTERNATIONAL POSTGRADUATE AND BUSINESS SCHOOL","150.0","Diploma de Especialización","Online","Sin Datos","Sin Datos","Sin Datos","El objetivo fundamental del Diplomado en Ingenieria Electrica es formar profesionales que les permita incursionar desde el reconocimiento y funcionamiento de los sistemas electricos y electronicos","['Modulos']","https://www.emagister.com/assets/es/logos/centro/id/192507/size/l.jpg","['l.jpg']","https://www.emagister.com/diplomado-ingenieria-electrica-cursos-3624625.htm",
"Programa online, máster en electrónica automotriz 2022.","CISE Electronics","Precio a consultar","Master","Online","Sin Datos","Sin Datos",900494940,"Plantea tus dudas y otros usuarios podran responderte","['ModularioLos siguientes 10 cursos online conforman el PROGRAMA TECNICO MASTER - Modalidad Online:  ', ' la actividad profesional, acercar cada vez más el conocimiento a la realidad del trabajo.']","https://www.emagister.com/assets/es/logos/centro/id/1152414/size/l.jpg","['l.jpg']","https://www.emagister.com/programa-online-master-electronica-automotriz-2022-cursos-3555566.htm",
"Master en Mantenimiento y Reforma de Carrocerías en Vehículos + Titulación Universitaria","EDUCA BUSINESS SCHOOL","1200.0","Master","A distancia","725h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['PARTE 1. VERIFICACIÓN DE ESTRUCTURAS DEFORMADAS', 'PARTE 2. POSICIONADO Y CONTROL DE LA ESTRUCTURA EN BANCADA', 'PARTE 3. REPARACIÓN EN BANCADA', 'PARTE 4. PREVENCIÓN DE RIESGOS Y GESTIÓN MEDIOAMBIENTAL EN EL MANTENIMIENTO DE VEHÍCULOS', 'PARTE 5. SEGURIDAD EN EL TRABAJO', 'MÓDULO 1. SEGURIDAD Y SALUD LABORAL (I)', 'MÓDULO 2. SEGURIDAD Y SALUD LABORAL (II)']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-mantenimiento-reforma-carrocerias-vehiculos-titulacion-universitaria-cursos-3670048.htm",
"MÁSTER EN MECÁNICA E INGENIERÍA INDUSTRIAL","ESNECA BUSINESS SCHOOL","890.0","Master","Online","Sin Datos","Sin Datos",973975855,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. PROCESOS DE MECANIZADO EN FABRICACIÓN MECÁNICA ', 'UNIDAD FORMATIVA 1. PROCESOS Y ÚTILES DE MECANIZADO EN FABRICACIÓN MECÁNICA ', 'UNIDAD FORMATIVA 2. PREVENCIÓN DE RIESGOS PROFESIONALES Y', 'MEDIOAMBIENTALES EN LA PRODUCCIÓN DE MECANIZADO, CONFORMADO Y MONTAJE MECÁNICO ', 'MÓDULO 2. PROCESOS DE CONFORMADO EN FABRICACIÓN MECÁNICA ', 'MÓDULO 3. PROCESOS DE MONTAJE EN FABRICACIÓN MECÁNICA ', 'MÓDULO 4. SUPERVISIÓN Y CONTROL DE PROCESOS DE FABRICACIÓN MECÁNICA ', 'UNIDAD FORMATIVA 1. ORGANIZACIÓN EN PROCESOS DE FABRICACIÓN MECÁNICA ', 'UNIDAD FORMATIVA 2. CONTROL Y SUPERVISIÓN EN LOS PROCESOS DE PRODUCCIÓN Y MANTENIMIENTO MECÁNICO ', 'UNIDAD FORMATIVA 3. PREVENCIÓN DE RIESGOS LABORALES Y PROTECCIÓN DEL MEDIO AMBIENTE EN PROCESOS DE FABRICACIÓN MECÁNICA ', 'MÓDULO 5. SISTEMAS AUTOMÁTICOS EN FABRICACIÓN MECÁNICA ', 'MÓDULO 6. CONTROL NUMÉRICO COMPUTERIZADO EN MECANIZADO Y CONFORMADO MECÁNICO ', 'UNIDAD FORMATIVA 1. PREVENCIÓN DE RIESGOS PROFESIONALES Y MEDIOAMBIENTALES EN LA PRODUCCIÓN DE MECANIZADO, CONFORMADO Y MONTAJE MECÁNICO ', 'UNIDAD FORMATIVA 2. PROGRAMACIÓN DE CONTROL NUMÉRICO COMPUTERIZADO (CNC) ']","https://www.emagister.com/assets/es/logos/centro/id/123469/size/l.jpg","['l.jpg']","https://www.emagister.com/master-mecanica-e-ingenieria-industrial-cursos-3629327.htm",
"Master en Mecánica e Ingeniería Industrial","EDUCA BUSINESS SCHOOL","1200.0","Master","Online","600h","Sin Datos",911227348,"Plantea tus dudas y otros usuarios podran responderte","['MÓDULO 1. EXPERTO EN ELEMENTOS Y MECANISMOS DE MÁQUINAS INDUSTRIALES', 'MÓDULO 2. EXPERTO EN MONTAJE DE ELEMENTOS DE MÁQUINAS INDUSTRIALES', 'MÓDULO 3. EXPERTO EN DIAGNÓSTICO DE AVERÍAS EN ELEMENTOS DE MÁQUINAS INDUSTRIALES', 'MÓDULO 4. EXPERTO EN REPARACIÓN DE ELEMENTOS DE MÁQUINAS INDUSTRIALES', 'MÓDULO 5. EXPERTO EN SISTEMAS MECÁNICOS, NEUMÁTICOS E HIDRÁULICOS DE LÍNEAS AUTORIZADAS']","https://www.emagister.com/assets/es/logos/centro/id/160194/size/l.jpg","['l.jpg']","https://www.emagister.com/master-mecanica-e-ingenieria-industrial-cursos-3655161.htm",
